Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,3.1,..,..,..,..,3.61,..,..,..,..,4,..,..,..,..,4.6,..,..,..,..,5.48,..,..,..,..,6.38,..,..,..,..,7.26,..,..,..,..,7.83,..,..,..,..,8.29,..,..,..,..,8.49,..,..,..,..,8.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.32,..,..,..,..,1.53,..,..,..,..,2.14,..,..,..,..,2.74,..,..,..,..,3.12,..,..,..,..,5.29,..,..,..,..,6.86,..,..,..,..,8.24,..,..,..,..,8.82,..,..,..,..,9.22,..,..,..,..,9.55,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,2.05,..,..,..,..,2.38,..,..,..,..,3.29,..,..,..,..,2.9,..,..,..,..,3.04,..,..,..,..,3.94,..,..,..,..,4.69,..,..,..,..,5.58,..,..,..,..,6.52,..,..,..,..,7.29,..,..,..,..,7.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,2.7,..,..,..,..,3.39,..,..,..,..,4.66,..,..,..,..,5.68,..,..,..,..,6.64,..,..,..,..,7.14,..,..,..,..,7.69,..,..,..,..,7.98,..,..,..,..,8.22,..,..,..,..,8.45,..,..,..,..,8.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,6.35,..,..,..,..,6.34,..,..,..,..,6.13,..,..,..,..,7.07,..,..,..,..,7.84,..,..,..,..,8.55,..,..,..,..,8.42,..,..,..,..,8.86,..,..,..,..,9.28,..,..,..,..,10.45,..,..,..,..,11.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.66,..,..,..,..,0.8,..,..,..,..,1.06,..,..,..,..,1.28,..,..,..,..,1.45,..,..,..,..,1.54,..,..,..,..,1.74,..,..,..,..,2.18,..,..,..,..,2.56,..,..,..,..,2.88,..,..,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.8,..,..,..,..,2.03,..,..,..,..,1.82,..,..,..,..,2.2,..,..,..,..,2.54,..,..,..,..,2.8,..,..,..,..,3.09,..,..,..,..,3.27,..,..,..,..,3.5,..,..,..,..,4.1,..,..,..,..,4.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.08,..,..,..,..,1.43,..,..,..,..,1.81,..,..,..,..,2.42,..,..,..,..,3.04,..,..,..,..,3.7,..,..,..,..,4.37,..,..,..,..,5,..,..,..,..,5.46,..,..,..,..,5.77,..,..,..,..,6.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,8.36,..,..,..,..,8.67,..,..,..,..,9.14,..,..,..,..,9.7,..,..,..,..,10.15,..,..,..,..,9.94,..,..,..,..,10.33,..,..,..,..,10.71,..,..,..,..,10.95,..,..,..,..,12.03,..,..,..,..,12.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.41,..,..,..,..,0.54,..,..,..,..,0.82,..,..,..,..,1.15,..,..,..,..,1.66,..,..,..,..,2.06,..,..,..,..,2.67,..,..,..,..,2.99,..,..,..,..,3.29,..,..,..,..,3.55,..,..,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.22,..,..,..,..,5.65,..,..,..,..,6.09,..,..,..,..,6.57,..,..,..,..,6.95,..,..,..,..,7.65,..,..,..,..,8.36,..,..,..,..,8.78,..,..,..,..,9.07,..,..,..,..,9.67,..,..,..,..,9.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,2.34,..,..,..,..,2.78,..,..,..,..,3.58,..,..,..,..,4.1,..,..,..,..,4.86,..,..,..,..,5.31,..,..,..,..,5.59,..,..,..,..,6.32,..,..,..,..,6.93,..,..,..,..,7.29,..,..,..,..,7.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,3.07,..,..,..,..,3.43,..,..,..,..,3.91,..,..,..,..,4.36,..,..,..,..,4.89,..,..,..,..,5.49,..,..,..,..,5.99,..,..,..,..,6.47,..,..,..,..,6.9,..,..,..,..,7.06,..,..,..,..,8.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.81,..,..,..,..,0.96,..,..,..,..,1.23,..,..,..,..,1.55,..,..,..,..,2.06,..,..,..,..,2.75,..,..,..,..,3.18,..,..,..,..,3.37,..,..,..,..,3.37,..,..,..,..,3.49,..,..,..,..,3.66,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.14,..,..,..,..,1.61,..,..,..,..,2.09,..,..,..,..,3.28,..,..,..,..,4.17,..,..,..,..,4.97,..,..,..,..,5.37,..,..,..,..,5.62,..,..,..,..,5.67,..,..,..,..,5.77,..,..,..,..,5.94,..,..,..,..,..,..,..,..,..,..,..,..,..,..
